Program,use_events,message_size,num_exchanges,MTU,Num mlx4 interrupts,Server Mbit/sec,Server voluntary_ctxt_switches,Server user time,Server system time,Server Mbit/sec,Client voluntary_ctxt_switches,Client user time,Client system time
ibv_uc_pingpong,1,16384,244140,4096,976276,10096.18,488250,0.656000,0.732000,10096.38,488238,0.732000,0.660000,
ibv_rc_pingpong,1,16384,244140,4096,488992,9925.46,488026,0.692000,0.684000,9925.63,488051,0.700000,0.680000,
ibv_uc_pingpong,0,32768,122070,1024,36,20499.90,16,3.120000,0.004000,20500.96,15,3.124000,0.000000,
ibv_rc_pingpong,0,32768,122070,1024,26,20498.38,16,3.124000,0.000000,20499.10,15,3.124000,0.000000,
ibv_uc_pingpong,1,32768,122070,1024,252043,14752.46,244029,0.384000,0.388000,14752.84,244000,0.344000,0.436000,
ibv_rc_pingpong,1,32768,122070,1024,244634,14782.25,243966,0.308000,0.496000,14782.61,243945,0.264000,0.540000,
ibv_uc_pingpong,0,32768,122070,2048,26,20216.35,16,3.168000,0.000000,20217.18,15,3.164000,0.004000,
ibv_rc_pingpong,0,32768,122070,2048,26,19842.26,17,3.224000,0.000000,19842.89,15,3.224000,0.000000,
ibv_uc_pingpong,1,32768,122070,2048,311531,14906.90,244025,0.316000,0.456000,14907.11,244020,0.300000,0.476000,
ibv_rc_pingpong,1,32768,122070,2048,244855,14598.21,243852,0.292000,0.452000,14598.64,243894,0.304000,0.440000,
ibv_uc_pingpong,0,32768,122070,4096,37,18628.35,16,3.436000,0.000000,18629.25,15,3.436000,0.000000,
ibv_rc_pingpong,0,32768,122070,4096,23,18389.32,16,3.480000,0.000000,18389.88,15,3.480000,0.000000,
ibv_uc_pingpong,1,32768,122070,4096,488138,14443.78,243958,0.368000,0.336000,14444.17,243949,0.356000,0.340000,
ibv_rc_pingpong,1,32768,122070,4096,244775,13584.44,243886,0.252000,0.568000,13584.82,243904,0.284000,0.536000,
ibv_uc_pingpong,0,65536,61035,1024,26,22352.77,16,2.860000,0.004000,22354.07,15,2.860000,0.004000,
ibv_rc_pingpong,0,65536,61035,1024,38,22339.35,16,2.864000,0.004000,22340.69,15,2.864000,0.000000,
ibv_uc_pingpong,1,65536,61035,1024,125459,16884.29,121823,0.116000,0.380000,16884.81,121880,0.124000,0.368000,
ibv_rc_pingpong,1,65536,61035,1024,122553,17180.77,121907,0.120000,0.384000,17181.43,121813,0.124000,0.384000,
ibv_uc_pingpong,0,65536,61035,2048,38,22533.31,16,2.844000,0.000000,22534.23,15,2.840000,0.000000,
ibv_rc_pingpong,0,65536,61035,2048,25,22071.75,16,2.896000,0.004000,22073.06,15,2.900000,0.000000,
ibv_uc_pingpong,1,65536,61035,2048,130361,17403.12,121905,0.132000,0.348000,17403.48,121862,0.132000,0.352000,
ibv_rc_pingpong,1,65536,61035,2048,122762,16948.35,121815,0.152000,0.344000,16948.66,121720,0.140000,0.360000,
ibv_uc_pingpong,0,65536,61035,4096,24,21519.62,16,2.976000,0.000000,21520.62,15,2.972000,0.004000,
ibv_rc_pingpong,0,65536,61035,4096,26,21113.63,16,3.032000,0.000000,21114.34,15,3.032000,0.000000,
ibv_uc_pingpong,1,65536,61035,4096,238716,16698.65,121919,0.108000,0.360000,16699.11,121912,0.152000,0.320000,
ibv_rc_pingpong,1,65536,61035,4096,122595,16241.91,121879,0.132000,0.368000,16242.57,121829,0.140000,0.372000,
ibv_uc_pingpong,0,131072,30517,1024,25,23352.89,16,2.740000,0.004000,23353.88,15,2.740000,0.004000,
ibv_rc_pingpong,0,131072,30517,1024,36,23357.02,16,2.740000,0.004000,23357.10,15,2.740000,0.000000,
ibv_uc_pingpong,1,131072,30517,1024,61691,19985.17,61047,0.072000,0.188000,19986.90,61045,0.056000,0.208000,
ibv_rc_pingpong,1,131072,30517,1024,61107,20327.37,61039,0.088000,0.184000,20328.18,61038,0.100000,0.164000,
ibv_uc_pingpong,0,131072,30517,2048,26,23443.96,16,2.724000,0.008000,23445.37,16,2.728000,0.000000,
ibv_rc_pingpong,0,131072,30517,2048,37,23322.37,16,2.744000,0.000000,23323.39,15,2.744000,0.000000,
ibv_uc_pingpong,1,131072,30517,2048,63400,20567.77,61047,0.068000,0.196000,20568.32,61043,0.060000,0.204000,
ibv_rc_pingpong,1,131072,30517,2048,61098,20375.19,61042,0.072000,0.188000,20375.60,61031,0.056000,0.208000,
ibv_uc_pingpong,0,131072,30517,4096,37,22901.40,16,2.796000,0.000000,22902.92,15,2.796000,0.000000,
ibv_rc_pingpong,0,131072,30517,4096,26,22787.15,16,2.804000,0.004000,22788.49,15,2.812000,0.000000,
ibv_uc_pingpong,1,131072,30517,4096,121519,19976.60,61047,0.060000,0.188000,19977.30,61046,0.076000,0.168000,
ibv_rc_pingpong,1,131072,30517,4096,61078,19841.64,61047,0.048000,0.228000,19842.36,61045,0.068000,0.204000,
ibv_uc_pingpong,0,262144,15258,1024,26,23988.25,16,2.668000,0.000000,23989.27,15,2.668000,0.000000,
ibv_rc_pingpong,0,262144,15258,1024,26,23909.99,16,2.676000,0.004000,23911.47,15,2.676000,0.000000,
ibv_uc_pingpong,1,262144,15258,1024,30551,21782.51,30531,0.024000,0.128000,21784.26,30531,0.032000,0.120000,
ibv_rc_pingpong,1,262144,15258,1024,30553,22160.02,30532,0.040000,0.112000,22161.11,30530,0.020000,0.136000,
