Program,use_events,message_size,num_exchanges,MTU,Num mlx4 interrupts,Server Mbit/sec,Server voluntary_ctxt_switches,Server user time,Server system time,Server Mbit/sec,Client voluntary_ctxt_switches,Client user time,Client system time
ibv_rc_pingpong,1,8192,488281,2048,976617,1529.43,976583,1.499509,4.579858,1529.43,976581,1.528782,4.514041,
ibv_uc_pingpong,0,8192,488281,4096,33,1804.59,21,35.461750,0.007998,1804.60,19,35.470517,0.003999,
ibv_rc_pingpong,0,8192,488281,4096,34,1797.26,21,35.611009,0.003998,1797.27,19,35.602147,0.011996,
ibv_uc_pingpong,1,8192,488281,4096,3882660,1378.10,976583,1.431173,4.573173,1378.11,976581,1.503641,4.593241,
ibv_rc_pingpong,1,8192,488281,4096,976625,1374.88,976583,1.499761,4.604269,1374.89,976581,1.383421,4.657851,
ibv_uc_pingpong,0,16384,244140,1024,34,2510.51,21,25.495650,0.003999,2510.53,19,25.494745,0.008000,
ibv_rc_pingpong,0,16384,244140,1024,34,2524.90,20,25.346240,0.008000,2524.91,19,25.345527,0.011998,
ibv_uc_pingpong,1,16384,244140,1024,539128,2066.54,488300,0.766629,2.208279,2066.54,488287,0.919792,2.996380,
ibv_rc_pingpong,1,16384,244140,1024,488320,2066.77,488301,0.708745,2.350838,2066.78,488299,0.751024,2.297543,
ibv_uc_pingpong,0,16384,244140,2048,34,2428.11,21,26.359385,0.007999,2428.12,19,26.353196,0.011996,
ibv_rc_pingpong,0,16384,244140,2048,34,2416.29,21,26.485572,0.007998,2416.31,19,26.476908,0.015995,
ibv_uc_pingpong,1,16384,244140,2048,1336577,1990.70,488301,0.724828,2.308928,1990.71,488299,0.768569,2.289472,
ibv_rc_pingpong,1,16384,244140,2048,488325,1999.17,488301,0.719349,2.379025,1999.18,488299,0.659989,2.369068,
ibv_uc_pingpong,0,16384,244140,4096,34,2240.94,20,28.564831,0.003999,2240.95,19,28.559348,0.007997,
ibv_rc_pingpong,0,16384,244140,4096,34,2229.25,21,28.711814,0.003999,2229.25,19,28.715069,0.003999,
ibv_uc_pingpong,1,16384,244140,4096,1952364,1785.63,488278,0.895198,2.233693,1785.63,488299,0.743557,2.316815,
ibv_rc_pingpong,1,16384,244140,4096,488321,1869.54,488300,0.722102,2.290988,1869.54,488299,0.828268,2.172251,
ibv_uc_pingpong,0,32768,122070,1024,34,2736.33,21,23.395929,0.000000,2736.34,19,23.390654,0.007999,
ibv_rc_pingpong,0,32768,122070,1024,34,2738.80,21,23.371386,0.004000,2738.81,19,23.371602,0.003999,
ibv_uc_pingpong,1,32768,122070,1024,407073,2435.79,244161,0.359683,1.171540,2435.79,244155,0.469133,1.219747,
ibv_rc_pingpong,1,32768,122070,1024,244175,2449.40,244161,0.413896,1.145787,2449.41,244159,0.451902,1.076442,
ibv_uc_pingpong,0,32768,122070,2048,34,2718.18,21,23.550877,0.003999,2718.19,19,23.535729,0.015994,
ibv_rc_pingpong,0,32768,122070,2048,34,2704.28,20,23.665043,0.003999,2704.29,19,23.665840,0.007999,
ibv_uc_pingpong,1,32768,122070,2048,666018,2418.62,244161,0.380130,1.162752,2418.63,244159,0.363432,1.124370,
ibv_rc_pingpong,1,32768,122070,2048,244175,2391.45,244160,0.428282,1.106396,2391.46,244158,0.463326,1.518370,
ibv_uc_pingpong,0,32768,122070,4096,34,2591.08,21,24.703424,0.003999,2591.09,19,24.698973,0.007998,
ibv_rc_pingpong,0,32768,122070,4096,34,2579.74,21,24.818421,0.000000,2579.75,19,24.808894,0.007998,
ibv_uc_pingpong,1,32768,122070,4096,974950,2317.32,244161,0.292743,1.251732,2317.33,244159,0.353288,1.140616,
ibv_rc_pingpong,1,32768,122070,4096,244174,2319.26,244160,0.350176,1.193363,2319.27,244159,0.417020,1.146805,
ibv_uc_pingpong,0,65536,61035,1024,34,2873.18,21,22.277950,0.004000,2873.20,19,22.275127,0.007998,
ibv_rc_pingpong,0,65536,61035,1024,34,2874.90,21,22.257110,0.011996,2874.92,19,22.268041,0.003999,
ibv_uc_pingpong,1,65536,61035,1024,234917,2691.40,122091,0.203852,0.578373,2691.42,122089,0.223049,0.537345,
ibv_rc_pingpong,1,65536,61035,1024,122104,2683.36,122091,0.202625,0.579733,2683.37,122089,0.269672,0.725118,
ibv_uc_pingpong,0,65536,61035,2048,34,2894.50,21,22.106735,0.011999,2894.52,19,22.114722,0.004001,
ibv_rc_pingpong,0,65536,61035,2048,34,2873.48,21,22.275834,0.003998,2873.50,19,22.275157,0.007999,
ibv_uc_pingpong,1,65536,61035,2048,310788,2716.12,122091,0.146483,0.621292,2716.13,122089,0.232284,0.597301,
ibv_rc_pingpong,1,65536,61035,2048,122104,2702.80,122091,0.169648,0.618396,2702.82,122089,0.223033,0.549006,
ibv_uc_pingpong,0,65536,61035,4096,34,2818.44,21,22.709608,0.008000,2818.46,19,22.703447,0.011997,
ibv_rc_pingpong,0,65536,61035,4096,34,2800.70,20,22.854521,0.003999,2800.72,19,22.849144,0.011998,
ibv_uc_pingpong,1,65536,61035,4096,486248,2608.17,122091,0.207091,0.583126,2608.18,122089,0.222508,0.559641,
ibv_rc_pingpong,1,65536,61035,4096,122104,2638.97,122091,0.174002,0.604430,2638.98,122089,0.124665,0.674115,
ibv_uc_pingpong,0,131072,30517,1024,34,2949.53,21,21.697776,0.007997,2949.55,19,21.700826,0.007998,
ibv_rc_pingpong,0,131072,30517,1024,34,2949.91,20,21.697454,0.007997,2949.94,19,21.696251,0.007997,
ibv_uc_pingpong,1,131072,30517,1024,113835,2849.77,61055,0.126325,0.275620,2849.77,61053,0.099411,0.292711,
ibv_rc_pingpong,1,131072,30517,1024,61068,2846.10,61055,0.061081,0.338726,2846.11,61053,0.073515,0.441095,
ibv_uc_pingpong,0,131072,30517,2048,34,2961.33,20,21.605242,0.015997,2961.35,19,21.607360,0.011999,
ibv_rc_pingpong,0,131072,30517,2048,34,2952.07,21,21.679985,0.007999,2952.08,19,21.684059,0.004000,
ibv_uc_pingpong,1,131072,30517,2048,172814,2861.93,61055,0.124246,0.264024,2861.94,61053,0.104785,0.291069,
ibv_rc_pingpong,1,131072,30517,2048,61068,2848.92,61055,0.139892,0.369715,2848.94,61053,0.154108,0.247507,
ibv_uc_pingpong,0,131072,30517,4096,34,2919.10,21,21.919435,0.011997,2919.12,19,21.927020,0.007998,
ibv_rc_pingpong,0,131072,30517,4096,34,2911.06,21,21.984726,0.008000,2911.09,19,21.980512,0.011998,
ibv_uc_pingpong,1,131072,30517,4096,242340,2824.96,61055,0.115145,0.287862,2824.97,61053,0.105452,0.283056,
ibv_rc_pingpong,1,131072,30517,4096,61068,2809.15,61054,0.105231,0.305169,2809.17,61053,0.120396,0.385267,
ibv_uc_pingpong,0,262144,15258,1024,34,2988.21,21,21.422956,0.004000,2988.23,19,21.416442,0.008000,
ibv_rc_pingpong,0,262144,15258,1024,34,2988.30,21,21.420061,0.003999,2988.32,19,21.418737,0.008001,
ibv_uc_pingpong,1,262144,15258,1024,37237,2938.91,30537,0.070812,0.165230,2938.92,30535,0.071129,0.146704,
ibv_rc_pingpong,1,262144,15258,1024,30550,2938.90,30537,0.051275,0.159522,2938.92,30535,0.063324,0.149676,
ibv_uc_pingpong,0,262144,15258,2048,34,2996.38,21,21.356491,0.012000,2996.39,19,21.355348,0.011997,
